"age_group","is_female","N","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[70,75)",0,11053,2273,624,8156,0.205645526101511,0.056455261015109,0.73789921288338
"[75,80)",0,7352,1714,514,5124,0.233133841131665,0.0699129488574537,0.696953210010881
"[80,100]",0,5447,1418,597,3432,0.260326785386451,0.109601615568203,0.630071599045346
"[70,75)",1,14077,3107,775,10195,0.220714640903602,0.0550543439653335,0.724231015131065
"[60,65)",1,18803,2981,676,15146,0.158538531085465,0.0359517098335372,0.805509759080998
"[45,50)",1,13729,1193,221,12315,0.0868963507902979,0.0160973122587224,0.89700633695098
"[60,65)",0,12801,1884,504,10413,0.147176001874854,0.0393719240684322,0.813452074056714
"[50,55)",0,9542,954,241,8347,0.0999790400335359,0.0252567595891847,0.874764200377279
"[55,60)",0,12063,1464,366,10233,0.121362845063417,0.0303407112658543,0.848296443670729
"[45,50)",0,7521,579,151,6791,0.0769844435580375,0.0200771174046005,0.902938439037362
"[65,70)",1,17867,3222,790,13855,0.180332456484021,0.044215592992668,0.775451950523311
"[50,55)",1,16444,1808,360,14276,0.109948917538312,0.0218924835806373,0.868158598881051
"[55,60)",1,19021,2518,580,15923,0.132380001051469,0.0304926134272646,0.837127385521266
"[75,80)",1,8225,2000,572,5653,0.243161094224924,0.0695440729483283,0.687294832826748
"[80,100]",1,5778,1727,648,3403,0.298892350294219,0.11214953271028,0.5889581169955
"[40,45)",1,13069,826,119,12124,0.0632029994643814,0.00910551687198714,0.927691483663632
"[65,70)",0,12266,2200,568,9498,0.179357573781184,0.0463068645035056,0.774335561715311
"[40,45)",0,6510,328,60,6122,0.050384024577573,0.00921658986175115,0.940399385560676
