"age_group","is_female","N","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[45,50)",1,13729,1977,1274,10478,0.144001748124408,0.0927962706679292,0.763201981207663
"[70,75)",0,11053,2797,2046,6210,0.25305346964625,0.185108115443771,0.561838414909979
"[60,65)",0,12801,2537,1804,8460,0.198187641590501,0.14092649011796,0.66088586829154
"[80,100]",0,5447,1458,1554,2435,0.267670277216817,0.285294657609693,0.44703506517349
"[50,55)",0,9542,1432,920,7190,0.150073359882624,0.0964158457346468,0.753510794382729
"[60,65)",1,18803,3928,2803,12072,0.208902834654045,0.14907195660267,0.642025208743286
"[70,75)",1,14077,3490,2918,7669,0.247922142501954,0.207288484762378,0.544789372735668
"[75,80)",0,7352,2041,1575,3736,0.277611534276387,0.214227421109902,0.508161044613711
"[55,60)",0,12063,2056,1414,8593,0.170438531045345,0.117217939152781,0.712343529801874
"[45,50)",0,7521,995,605,5921,0.1322962372025,0.0804414306608164,0.787262332136684
"[55,60)",1,19021,3576,2434,13011,0.188002733820514,0.127963829451659,0.684033436727827
"[50,55)",1,16444,2896,1801,11747,0.176112867915349,0.109523230357577,0.714363901727074
"[75,80)",1,8225,2128,1953,4144,0.258723404255319,0.237446808510638,0.503829787234043
"[40,45)",0,6510,702,325,5483,0.107834101382488,0.0499231950844854,0.842242703533026
"[40,45)",1,13069,1682,792,10595,0.128701507383886,0.0606014232152422,0.810697069400872
"[80,100]",1,5778,1517,1799,2462,0.262547594323295,0.311353409484251,0.426098996192454
"[65,70)",1,17867,4079,3044,10744,0.228297979515308,0.170369955784407,0.601332064700285
"[65,70)",0,12266,2745,1992,7529,0.223789336376977,0.162400130441872,0.613810533181151
