"age_group","is_female","category","N","count","percent"
"[40,45)",0,"AFIB",6510,75,0.0115207373271889
"[40,45)",1,"AFIB",13069,74,0.00566225418930293
"[45,50)",0,"AFIB",7521,146,0.0194123121925276
"[45,50)",1,"AFIB",13729,119,0.00866778352392745
"[50,55)",0,"AFIB",9542,244,0.0255711590861455
"[50,55)",1,"AFIB",16444,187,0.0113719289710533
"[55,60)",0,"AFIB",12063,432,0.0358119870678936
"[55,60)",1,"AFIB",19021,318,0.0167183639135692
"[60,65)",0,"AFIB",12801,636,0.0496836184673072
"[60,65)",1,"AFIB",18803,468,0.0248896452693719
"[65,70)",0,"AFIB",12266,890,0.0725582912114789
"[65,70)",1,"AFIB",17867,705,0.0394582190630772
"[70,75)",0,"AFIB",11053,1084,0.0980729213788112
"[70,75)",1,"AFIB",14077,823,0.0584641613980251
"[75,80)",0,"AFIB",7352,991,0.134793253536453
"[75,80)",1,"AFIB",8225,728,0.0885106382978723
"[80,100]",0,"AFIB",5447,1026,0.188360565448871
"[80,100]",1,"AFIB",5778,827,0.14312911041883
"[40,45)",0,"Anemia",6510,369,0.0566820276497696
"[40,45)",1,"Anemia",13069,1312,0.100390236437371
"[45,50)",0,"Anemia",7521,563,0.0748570668794043
"[45,50)",1,"Anemia",13729,1449,0.105543011144293
"[50,55)",0,"Anemia",9542,732,0.0767134772584364
"[50,55)",1,"Anemia",16444,1534,0.0932863050352712
"[55,60)",0,"Anemia",12063,974,0.0807427671391859
"[55,60)",1,"Anemia",19021,1644,0.0864307870248673
"[60,65)",0,"Anemia",12801,1174,0.0917115850324193
"[60,65)",1,"Anemia",18803,1648,0.087645588469925
"[65,70)",0,"Anemia",12266,1237,0.100847872166966
"[65,70)",1,"Anemia",17867,1750,0.0979459338445178
"[70,75)",0,"Anemia",11053,1186,0.107301185198589
"[70,75)",1,"Anemia",14077,1513,0.107480286992967
"[75,80)",0,"Anemia",7352,896,0.121871599564744
"[75,80)",1,"Anemia",8225,968,0.117689969604863
"[80,100]",0,"Anemia",5447,883,0.162107582155315
"[80,100]",1,"Anemia",5778,849,0.146936656282451
"[40,45)",0,"Anxiety",6510,657,0.100921658986175
"[40,45)",1,"Anxiety",13069,1889,0.144540515724233
"[45,50)",0,"Anxiety",7521,787,0.104640340380269
"[45,50)",1,"Anxiety",13729,2003,0.145895549566611
"[50,55)",0,"Anxiety",9542,850,0.089079857472228
"[50,55)",1,"Anxiety",16444,2378,0.144612016540988
"[55,60)",0,"Anxiety",12063,1085,0.0899444582607975
"[55,60)",1,"Anxiety",19021,2547,0.133904631722833
"[60,65)",0,"Anxiety",12801,1061,0.0828841496758066
"[60,65)",1,"Anxiety",18803,2300,0.122320906238366
"[65,70)",0,"Anxiety",12266,913,0.0744333931191913
"[65,70)",1,"Anxiety",17867,2035,0.113897128784911
"[70,75)",0,"Anxiety",11053,720,0.0651406857866643
"[70,75)",1,"Anxiety",14077,1591,0.113021240321091
"[75,80)",0,"Anxiety",7352,403,0.0548150163220892
"[75,80)",1,"Anxiety",8225,842,0.102370820668693
"[80,100]",0,"Anxiety",5447,278,0.0510372682210391
"[80,100]",1,"Anxiety",5778,548,0.0948425060574593
"[40,45)",0,"Arthritis",6510,556,0.0854070660522273
"[40,45)",1,"Arthritis",13069,1548,0.118448236284337
"[45,50)",0,"Arthritis",7521,1008,0.134024730753889
"[45,50)",1,"Arthritis",13729,2362,0.172044577172409
"[50,55)",0,"Arthritis",9542,1516,0.158876545797527
"[50,55)",1,"Arthritis",16444,3634,0.220992459255656
"[55,60)",0,"Arthritis",12063,2395,0.198540993119456
"[55,60)",1,"Arthritis",19021,5187,0.272698596288313
"[60,65)",0,"Arthritis",12801,3069,0.239746894773846
"[60,65)",1,"Arthritis",18803,5917,0.314683827048875
"[65,70)",0,"Arthritis",12266,3453,0.281509864666558
"[65,70)",1,"Arthritis",17867,6476,0.36245592432977
"[70,75)",0,"Arthritis",11053,3627,0.328146204650321
"[70,75)",1,"Arthritis",14077,5699,0.404844782268949
"[75,80)",0,"Arthritis",7352,2527,0.343715995647443
