"age_group","is_female","n","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[40,45)",0,6031,0,4139,1892,0,0.686287514508373,0.313712485491627
"[40,45)",1,7159,0,5543,1616,0,0.774270149462215,0.225729850537785
"[45,50)",0,11440,0,8956,2484,0,0.782867132867133,0.217132867132867
"[45,50)",1,14635,0,12455,2180,0,0.851042022548685,0.148957977451315
"[50,55)",0,12800,0,11759,1041,0,0.918671875,0.081328125
"[50,55)",1,17563,0,16699,864,0,0.950805671012925,0.0491943289870751
"[55,60)",0,15449,0,14920,529,0,0.965758301508188,0.0342416984918118
"[55,60)",1,20464,0,20057,407,0,0.9801114151681,0.0198885848318999
"[60,65)",0,21827,0,21416,411,0,0.981170110413708,0.0188298895862922
"[60,65)",1,27399,0,27075,324,0,0.988174750903318,0.0118252490966824
"[65,70)",0,20991,0,20717,274,0,0.986946786718117,0.0130532132818827
"[65,70)",1,22599,0,22397,202,0,0.991061551396079,0.00893844860392053
"[70,75)",0,5525,0,5465,60,0,0.989140271493213,0.0108597285067873
"[70,75)",1,5684,0,5645,39,0,0.993138634764251,0.00686136523574947
