"age_group","is_female","n","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[40,45)",0,172517,164,1,172352,0.000950630952311946,0.00000579653019702406,0.999043572517491
"[40,45)",1,187351,344,0,187007,0.00183612577461556,0,0.998163874225384
"[45,50)",0,191647,332,4,191311,0.00173235166738848,0.0000208717068360058,0.998246776625776
"[45,50)",1,205987,585,4,205398,0.00283998504760009,0.0000194187011801716,0.99714059625122
"[50,55)",0,194280,684,4,193592,0.0035206917850525,0.0000205888408482602,0.996458719374099
"[50,55)",1,206261,1017,9,205235,0.00493064612311586,0.000043634036487751,0.995025719840396
"[55,60)",0,179016,1274,9,177733,0.00711668230772668,0.0000502748357688698,0.992833042856504
"[55,60)",1,184086,1520,13,182553,0.0082570103103984,0.0000706191671284074,0.991672370522473
"[60,65)",0,168743,2335,19,166389,0.0138376110416432,0.000112597263293885,0.986049791695063
"[60,65)",1,172071,2370,25,169676,0.013773384242551,0.000145288863318049,0.986081326894131
"[65,70)",0,164314,3972,90,160252,0.0241732293048675,0.000547731781832345,0.9752790389133
"[65,70)",1,167680,3665,61,163954,0.021857108778626,0.000363788167938931,0.977779103053435
"[70,75)",0,132931,5541,134,127256,0.0416832792952735,0.00100804176602899,0.957308678938698
"[70,75)",1,141998,5497,101,136400,0.0387118128424344,0.000711277623628502,0.960576909533937
"[75,80)",0,105409,7778,248,97383,0.0737887656651709,0.00235274027834435,0.923858494056485
"[75,80)",1,120512,8353,248,111911,0.069312599575146,0.00205788635156665,0.928629514073287
"[80,120]",0,151034,18695,710,131629,0.123780076009375,0.00470092826780725,0.871518995722817
"[80,120]",1,232841,27788,1012,204041,0.119343242813766,0.00434631357879411,0.87631044360744
