"age_group","is_female","n","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[40,45)",0,56013,289,4,55720,0.00515951654080303,0.0000714119936443326,0.994769071465553
"[40,45)",1,51133,573,14,50546,0.0112060704437447,0.000273795787456242,0.988520133768799
"[45,50)",0,55695,606,14,55075,0.0108806894694317,0.000251369063650238,0.988867941466918
"[45,50)",1,51791,1026,33,50732,0.0198103917669093,0.000637176343380124,0.979552431889711
"[50,55)",0,57331,1160,45,56126,0.0202333815911113,0.00078491566517242,0.978981702743716
"[50,55)",1,53487,1677,68,51742,0.0313534129788547,0.0012713369603829,0.967375250060762
"[55,60)",0,51875,1872,104,49899,0.0360867469879518,0.00200481927710843,0.96190843373494
"[55,60)",1,47915,2215,111,45589,0.0462276948763435,0.00231660231660232,0.951455702807054
"[60,65)",0,46867,2956,220,43691,0.0630720976379969,0.00469413446561547,0.932233767896388
"[60,65)",1,44127,3245,224,40658,0.073537743331747,0.00507625716681397,0.921385999501439
"[65,70)",0,43054,4520,468,38066,0.104984438147443,0.0108700701444697,0.884145491708088
"[65,70)",1,41032,4389,415,36228,0.106965295379216,0.0101140573211152,0.882920647299669
"[70,75)",0,36481,6011,734,29736,0.164770702557496,0.0201200624982868,0.815109234944217
"[70,75)",1,37416,5949,806,30661,0.158996151379089,0.0215415864870644,0.819462262133846
"[75,80)",0,29487,6995,1300,21192,0.237223183097636,0.0440872248787601,0.718689592023604
"[75,80)",1,31986,7704,1425,22857,0.240855374226224,0.0445507409491653,0.714593884824611
"[80,120]",0,43286,14916,4310,24060,0.344591784872707,0.0995702998660075,0.555837915261285
"[80,120]",1,64444,23426,6860,34158,0.363509403513128,0.106449009993172,0.5300415864937
