"age_group","is_female","category","N","count","percent"
"[40,45)",0,"Activity limitation",172517,58,0.000336198751427396
"[40,45)",1,"Activity limitation",187351,71,0.00037896781976077
"[45,50)",0,"Activity limitation",191647,92,0.000480049257228133
"[45,50)",1,"Activity limitation",205987,150,0.000728201294256434
"[50,55)",0,"Activity limitation",194280,169,0.000869878525838995
"[50,55)",1,"Activity limitation",206261,245,0.00118781543772211
"[55,60)",0,"Activity limitation",179016,239,0.00133507619430665
"[55,60)",1,"Activity limitation",184086,288,0.00156448616407549
"[60,65)",0,"Activity limitation",168743,451,0.00267270346029169
"[60,65)",1,"Activity limitation",172071,371,0.00215608673163985
"[65,70)",0,"Activity limitation",164314,574,0.00349331158635296
"[65,70)",1,"Activity limitation",167680,553,0.00329794847328244
"[70,75)",0,"Activity limitation",132931,725,0.00545395731620164
"[70,75)",1,"Activity limitation",141998,622,0.0043803433851181
"[75,80)",0,"Activity limitation",105409,838,0.00794998529537326
"[75,80)",1,"Activity limitation",120512,767,0.00636451141795008
"[80,120]",0,"Activity limitation",151034,1513,0.01001761192844
"[80,120]",1,"Activity limitation",232841,1834,0.00787661966749842
"[40,45)",0,"Anaemia and haematinic deficiency",172517,546,0.00316490548757514
"[40,45)",1,"Anaemia and haematinic deficiency",187351,3312,0.017678048155601
"[45,50)",0,"Anaemia and haematinic deficiency",191647,868,0.00452916038341325
"[45,50)",1,"Anaemia and haematinic deficiency",205987,4064,0.0197294003990543
"[50,55)",0,"Anaemia and haematinic deficiency",194280,1122,0.005775169857937
"[50,55)",1,"Anaemia and haematinic deficiency",206261,3413,0.0165469962814104
"[55,60)",0,"Anaemia and haematinic deficiency",179016,1444,0.008066318094472
"[55,60)",1,"Anaemia and haematinic deficiency",184086,2214,0.0120269873863303
"[60,65)",0,"Anaemia and haematinic deficiency",168743,1955,0.0115856657757655
"[60,65)",1,"Anaemia and haematinic deficiency",172071,2315,0.0134537487432513
"[65,70)",0,"Anaemia and haematinic deficiency",164314,2632,0.0160181116642526
"[65,70)",1,"Anaemia and haematinic deficiency",167680,2783,0.0165970896946565
"[70,75)",0,"Anaemia and haematinic deficiency",132931,3032,0.0228088256313426
"[70,75)",1,"Anaemia and haematinic deficiency",141998,3278,0.0230848321807349
"[75,80)",0,"Anaemia and haematinic deficiency",105409,3626,0.0343993397148251
"[75,80)",1,"Anaemia and haematinic deficiency",120512,3962,0.0328763940520446
"[80,120]",0,"Anaemia and haematinic deficiency",151034,7427,0.0491743580915555
"[80,120]",1,"Anaemia and haematinic deficiency",232841,9842,0.0422691879866518
"[40,45)",0,"Arthritis",172517,2501,0.0144971220227572
"[40,45)",1,"Arthritis",187351,1419,0.00757401882028919
"[45,50)",0,"Arthritis",191647,3697,0.0192906750431783
"[45,50)",1,"Arthritis",205987,2621,0.0127241039483074
"[50,55)",0,"Arthritis",194280,5160,0.0265596046942557
"[50,55)",1,"Arthritis",206261,4419,0.0214243119154857
"[55,60)",0,"Arthritis",179016,6038,0.0337288287080484
"[55,60)",1,"Arthritis",184086,5939,0.0322620948904316
"[60,65)",0,"Arthritis",168743,7250,0.0429647452042455
"[60,65)",1,"Arthritis",172071,7158,0.0415991073452238
"[65,70)",0,"Arthritis",164314,7838,0.0477013522889103
"[65,70)",1,"Arthritis",167680,8250,0.049200858778626
"[70,75)",0,"Arthritis",132931,7032,0.0528996246172826
"[70,75)",1,"Arthritis",141998,8214,0.057845885153312
"[75,80)",0,"Arthritis",105409,6179,0.0586192829834265
"[75,80)",1,"Arthritis",120512,7808,0.0647902283590016
"[80,120]",0,"Arthritis",151034,8460,0.0560138776699286
"[80,120]",1,"Arthritis",232841,12536,0.0538393152408725
"[40,45)",0,"Atrial fibrillation",172517,231,0.00133899847551256
"[40,45)",1,"Atrial fibrillation",187351,70,0.000373630244834562
"[45,50)",0,"Atrial fibrillation",191647,496,0.00258809164766472
"[45,50)",1,"Atrial fibrillation",205987,137,0.000665090515420876
"[50,55)",0,"Atrial fibrillation",194280,841,0.00432880378834672
"[50,55)",1,"Atrial fibrillation",206261,307,0.00148840546685995
"[55,60)",0,"Atrial fibrillation",179016,1309,0.00731219555793896
"[55,60)",1,"Atrial fibrillation",184086,551,0.00299316623751942
"[60,65)",0,"Atrial fibrillation",168743,1954,0.0115797396040132
"[60,65)",1,"Atrial fibrillation",172071,826,0.00480034404402834
"[65,70)",0,"Atrial fibrillation",164314,2960,0.0180142897135971
"[65,70)",1,"Atrial fibrillation",167680,1589,0.00947638358778626
"[70,75)",0,"Atrial fibrillation",132931,3603,0.0271042871865855
"[70,75)",1,"Atrial fibrillation",141998,2414,0.0170002394399921
"[75,80)",0,"Atrial fibrillation",105409,3967,0.0376343575975486
"[75,80)",1,"Atrial fibrillation",120512,3199,0.0265450743494424
"[80,120]",0,"Atrial fibrillation",151034,7691,0.0509223088840923
"[80,120]",1,"Atrial fibrillation",232841,9362,0.0402076953801092
"[40,45)",0,"Cerebrovascular disease",172517,346,0.00200559944817033
"[40,45)",1,"Cerebrovascular disease",187351,253,0.00135040645633063
"[45,50)",0,"Cerebrovascular disease",191647,674,0.00351688260186697
"[45,50)",1,"Cerebrovascular disease",205987,525,0.00254870452989752
"[50,55)",0,"Cerebrovascular disease",194280,1229,0.00632592135062796
"[50,55)",1,"Cerebrovascular disease",206261,843,0.00408705475101934
"[55,60)",0,"Cerebrovascular disease",179016,1721,0.00961366581758055
"[55,60)",1,"Cerebrovascular disease",184086,1145,0.00621991895092511
"[60,65)",0,"Cerebrovascular disease",168743,2394,0.0141872551750295
"[60,65)",1,"Cerebrovascular disease",172071,1583,0.00919969082529886
"[65,70)",0,"Cerebrovascular disease",164314,3082,0.0187567705734143
"[65,70)",1,"Cerebrovascular disease",167680,2160,0.012881679389313
"[70,75)",0,"Cerebrovascular disease",132931,3596,0.0270516282883601
"[70,75)",1,"Cerebrovascular disease",141998,2786,0.0196199946478119
"[75,80)",0,"Cerebrovascular disease",105409,4055,0.0384692009221224
"[75,80)",1,"Cerebrovascular disease",120512,3520,0.0292087095061073
"[80,120]",0,"Cerebrovascular disease",151034,8064,0.0533919514811235
"[80,120]",1,"Cerebrovascular disease",232841,10898,0.0468044717210457
"[40,45)",0,"Chronic kidney disease",172517,6367,0.0369065077644522
"[40,45)",1,"Chronic kidney disease",187351,8069,0.0430688920795726
"[45,50)",0,"Chronic kidney disease",191647,8924,0.0465647779511289
"[45,50)",1,"Chronic kidney disease",205987,10794,0.052401365134693
"[50,55)",0,"Chronic kidney disease",194280,11527,0.059331892114474
"[50,55)",1,"Chronic kidney disease",206261,12743,0.0617809474403789
"[55,60)",0,"Chronic kidney disease",179016,12975,0.0724795549001207
"[55,60)",1,"Chronic kidney disease",184086,12761,0.0693208609019697
"[60,65)",0,"Chronic kidney disease",168743,14469,0.0857457790841694
"[60,65)",1,"Chronic kidney disease",172071,13817,0.0802982489786193
"[65,70)",0,"Chronic kidney disease",164314,16794,0.102206750489916
"[65,70)",1,"Chronic kidney disease",167680,16204,0.0966364503816794
"[70,75)",0,"Chronic kidney disease",132931,16161,0.121574350602944
"[70,75)",1,"Chronic kidney disease",141998,16613,0.116994605557825
"[75,80)",0,"Chronic kidney disease",105409,15386,0.145964765816961
"[75,80)",1,"Chronic kidney disease",120512,17305,0.143595658523633
"[80,120]",0,"Chronic kidney disease",151034,26833,0.177661983394467
"[80,120]",1,"Chronic kidney disease",232841,40165,0.172499688628721
"[40,45)",0,"Diabetes",172517,4729,0.0274117913017268
"[40,45)",1,"Diabetes",187351,3392,0.0181050541496976
"[45,50)",0,"Diabetes",191647,8006,0.0417747212322656
"[45,50)",1,"Diabetes",205987,5395,0.0261909732167564
"[50,55)",0,"Diabetes",194280,12026,0.0619003500102944
"[50,55)",1,"Diabetes",206261,7770,0.0376707181677583
"[55,60)",0,"Diabetes",179016,15445,0.0862772042722438
"[55,60)",1,"Diabetes",184086,9885,0.0536977282357159
"[60,65)",0,"Diabetes",168743,18254,0.108176339166662
"[60,65)",1,"Diabetes",172071,11805,0.0686054012587827
"[65,70)",0,"Diabetes",164314,21243,0.129282958238495
"[65,70)",1,"Diabetes",167680,13927,0.0830570133587786
"[70,75)",0,"Diabetes",132931,20020,0.15060444892463
"[70,75)",1,"Diabetes",141998,14702,0.103536669530557
"[75,80)",0,"Diabetes",105409,17991,0.170678025595537
"[75,80)",1,"Diabetes",120512,14916,0.12377190653213
"[80,120]",0,"Diabetes",151034,22547,0.149284267118662
"[80,120]",1,"Diabetes",232841,24914,0.107000055832091
"[40,45)",0,"Dizziness",172517,2047,0.0118654973133083
"[40,45)",1,"Dizziness",187351,4683,0.0249958633794322
"[45,50)",0,"Dizziness",191647,2444,0.0127526128767995
"[45,50)",1,"Dizziness",205987,5322,0.0258365819202183
"[50,55)",0,"Dizziness",194280,2843,0.014633518632901
"[50,55)",1,"Dizziness",206261,5718,0.0277221578485511
"[55,60)",0,"Dizziness",179016,3105,0.0173448183402601
"[55,60)",1,"Dizziness",184086,5471,0.029719804873809
"[60,65)",0,"Dizziness",168743,3467,0.0205460374652578
"[60,65)",1,"Dizziness",172071,5759,0.0334687425539458
