"age_group","is_female","category","N","count","percent"
"[40,45)",0,"Activity limitation",56013,29,0.000517736953921411
"[40,45)",1,"Activity limitation",51133,24,0.000469364207067843
"[45,50)",0,"Activity limitation",55695,43,0.000772062124068588
"[45,50)",1,"Activity limitation",51791,40,0.000772334961672878
"[50,55)",0,"Activity limitation",57331,65,0.00113376707191572
"[50,55)",1,"Activity limitation",53487,53,0.000990894983827846
"[55,60)",0,"Activity limitation",51875,93,0.00179277108433735
"[55,60)",1,"Activity limitation",47915,86,0.00179484503808828
"[60,65)",0,"Activity limitation",46867,121,0.00258177395608851
"[60,65)",1,"Activity limitation",44127,95,0.00215287692342557
"[65,70)",0,"Activity limitation",43054,159,0.00369303665164677
"[65,70)",1,"Activity limitation",41032,144,0.00350945603431468
"[70,75)",0,"Activity limitation",36481,180,0.00493407527205943
"[70,75)",1,"Activity limitation",37416,145,0.00387534744494334
"[75,80)",0,"Activity limitation",29487,180,0.00610438498321294
"[75,80)",1,"Activity limitation",31986,182,0.00568998937034953
"[80,120]",0,"Activity limitation",43286,403,0.00931016956983782
"[80,120]",1,"Activity limitation",64444,473,0.00733970579107442
"[40,45)",0,"Anaemia and haematinic deficiency",56013,572,0.0102119150911396
"[40,45)",1,"Anaemia and haematinic deficiency",51133,3035,0.0593550153521209
"[45,50)",0,"Anaemia and haematinic deficiency",55695,788,0.0141484872968848
"[45,50)",1,"Anaemia and haematinic deficiency",51791,3558,0.0686991948408025
"[50,55)",0,"Anaemia and haematinic deficiency",57331,1083,0.0188903036751496
"[50,55)",1,"Anaemia and haematinic deficiency",53487,3271,0.0611550470207714
"[55,60)",0,"Anaemia and haematinic deficiency",51875,1350,0.0260240963855422
"[55,60)",1,"Anaemia and haematinic deficiency",47915,2188,0.0456641970155484
"[60,65)",0,"Anaemia and haematinic deficiency",46867,1722,0.0367422706808629
"[60,65)",1,"Anaemia and haematinic deficiency",44127,2148,0.0486776803317697
"[65,70)",0,"Anaemia and haematinic deficiency",43054,2143,0.0497747015376039
"[65,70)",1,"Anaemia and haematinic deficiency",41032,2309,0.0562731526613375
