"age_group","is_female","N","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[40,45)",0,172517,271,1,172245,0.00157085968339352,0.00000579653019702406,0.998423343786409
"[40,45)",1,187351,516,1,186834,0.00275418866192334,0.00000533757492620803,0.997240473763151
"[45,50)",0,191647,559,8,191080,0.00291682103033181,0.0000417434136720116,0.997041435555996
"[45,50)",1,205987,944,4,205039,0.00458281347852049,0.0000194187011801716,0.995397767820299
"[50,55)",0,194280,1127,8,193145,0.00580090590899732,0.0000411776816965205,0.994157916409306
"[50,55)",1,206261,1526,25,204710,0.007398393297812,0.000121205656910419,0.992480401045278
"[55,60)",0,179016,1982,24,177010,0.0110716360548778,0.000134066228716986,0.988794297716405
"[55,60)",1,184086,2193,24,181869,0.0119129102701998,0.000130373847006291,0.987956715882794
"[60,65)",0,168743,3502,51,165190,0.0207534534765887,0.000302234759367796,0.978944311764044
"[60,65)",1,172071,3340,47,168684,0.0194105921392913,0.000273143063037932,0.980316264797671
"[65,70)",0,164314,6017,154,158143,0.0366189125698358,0.000937229937802013,0.962443857492362
"[65,70)",1,167680,5239,98,162343,0.031244036259542,0.000584446564885496,0.968171517175572
"[70,75)",0,132931,8331,298,124302,0.0626716115879667,0.00224176452445254,0.935086623887581
"[70,75)",1,141998,7743,198,134057,0.0545289370272821,0.00139438583642023,0.944076677136298
"[75,80)",0,105409,11534,477,93398,0.109421396654935,0.00452523029342846,0.886053373051637
"[75,80)",1,120512,11373,453,108686,0.0943723446627722,0.00375896176314392,0.901868693574084
"[80,120]",0,151034,27729,1422,121883,0.183594422447926,0.00941509858707311,0.806990478965001
"[80,120]",1,232841,38060,1745,193036,0.163459184593779,0.0074943845800353,0.829046430826186
