"age_group","is_female","n","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[40,45)",0,56013,49,1,55963,0.000874796922143074,0.0000178529984110831,0.999107350079446
"[40,45)",1,51133,73,0,51060,0.00142764946316469,0,0.998572350536835
"[45,50)",0,55695,74,1,55620,0.00132866505072269,0.0000179549331178741,0.998653380016159
"[45,50)",1,51791,146,1,51644,0.002819022610106,0.0000193083740418219,0.997161669015852
"[50,55)",0,57331,173,3,57155,0.00301756466832952,0.0000523277110114947,0.996930107620659
"[50,55)",1,53487,252,6,53229,0.00471142520612485,0.00011217679062202,0.995176398003253
"[55,60)",0,51875,270,8,51597,0.00520481927710843,0.00015421686746988,0.994640963855422
"[55,60)",1,47915,306,5,47604,0.00638630908901179,0.000104351455702807,0.993509339455285
"[60,65)",0,46867,419,7,46441,0.00894019245951309,0.000149358823905947,0.990910448716581
"[60,65)",1,44127,453,10,43664,0.0102658236453872,0.000226618623518481,0.989507557731094
"[65,70)",0,43054,671,11,42372,0.0155850792028615,0.000255493101686254,0.984159427695452
"[65,70)",1,41032,664,23,40345,0.0161824917137844,0.000560538116591928,0.983256970169624
"[70,75)",0,36481,924,33,35524,0.0253282530632384,0.000904580466544228,0.973767166470217
"[70,75)",1,37416,1020,51,36345,0.0272610647851187,0.00136305323925593,0.971375881975625
"[75,80)",0,29487,1231,56,28200,0.0417472106351952,0.00189914199477736,0.956353647370027
"[75,80)",1,31986,1510,58,30418,0.0472081535671856,0.00181329331582567,0.950978553116989
"[80,120]",0,43286,3132,186,39968,0.0723559580464815,0.00429700133992515,0.923347040613593
"[80,120]",1,64444,5042,302,59100,0.0782384706101421,0.00468623921544286,0.917075290174415
