"age_group","is_female","n","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[40,45)",0,172517,319,4,172194,0.00184909313285068,0.0000231861207880962,0.998127720746361
"[40,45)",1,187351,743,14,186594,0.00396581817017256,0.0000747260489669124,0.995959455780861
"[45,50)",0,191647,539,9,191099,0.00281246249615178,0.000046961340381013,0.997140576163467
"[45,50)",1,205987,1156,20,204811,0.00561200464106958,0.0000970935059008578,0.99429090185303
"[50,55)",0,194280,809,19,193452,0.00416409306156063,0.0000977969940292362,0.99573810994441
"[50,55)",1,206261,1703,27,204531,0.00825652934873776,0.000130902109463253,0.991612568541799
"[55,60)",0,179016,1252,34,177730,0.00699378826473611,0.000189927157349064,0.992816284577915
"[55,60)",1,184086,1966,42,182078,0.0106797909672653,0.000228154232261008,0.989092054800474
"[60,65)",0,168743,1860,58,166825,0.0110226794592961,0.000343717961633964,0.98863360257907
"[60,65)",1,172071,2385,79,169607,0.0138605575605419,0.000459112808085035,0.985680329631373
"[65,70)",0,164314,2656,76,161582,0.0161641734727412,0.000462529060213981,0.983373297467045
"[65,70)",1,167680,3242,119,164319,0.0193344465648855,0.000709685114503817,0.979955868320611
"[70,75)",0,132931,3515,138,129278,0.0264422896088948,0.00103813256501493,0.97251957782609
"[70,75)",1,141998,4376,211,137411,0.0308173354554289,0.00148593642163974,0.967696728122931
"[75,80)",0,105409,4620,222,100567,0.0438292745401247,0.00210608202335664,0.954064643436519
"[75,80)",1,120512,6316,332,113864,0.0524097185342539,0.00275491237387148,0.944835369091875
"[80,120]",0,151034,11193,621,139220,0.0741091409881219,0.00411165697789902,0.921779202033979
"[80,120]",1,232841,18318,1091,213432,0.0786717115971843,0.00468560090362093,0.916642687499195
