"age_group","is_female","category","N","count","percent"
"[40,45)",0,"AFIB",56013,82,0.00146394586970882
"[40,45)",1,"AFIB",51133,20,0.000391136839223202
"[45,50)",0,"AFIB",55695,142,0.00254960050273813
"[45,50)",1,"AFIB",51791,49,0.000946110328049275
"[50,55)",0,"AFIB",57331,305,0.00531998395283529
"[50,55)",1,"AFIB",53487,120,0.00224353581244041
"[55,60)",0,"AFIB",51875,443,0.00853975903614458
"[55,60)",1,"AFIB",47915,173,0.00361056036731712
"[60,65)",0,"AFIB",46867,697,0.0148718714660635
"[60,65)",1,"AFIB",44127,319,0.00722913409023954
"[65,70)",0,"AFIB",43054,1091,0.0253402703581549
"[65,70)",1,"AFIB",41032,543,0.0132335737960616
"[70,75)",0,"AFIB",36481,1409,0.0386228447685096
"[70,75)",1,"AFIB",37416,864,0.0230917254650417
"[75,80)",0,"AFIB",29487,1609,0.0545664190999423
"[75,80)",1,"AFIB",31986,1327,0.041486900518977
"[80,120]",0,"AFIB",43286,3584,0.0827981333456545
"[80,120]",1,"AFIB",64444,4564,0.0708211780770902
"[40,45)",0,"Anemia",56013,112,0.00199953582204131
"[40,45)",1,"Anemia",51133,868,0.016975338822287
"[45,50)",0,"Anemia",55695,202,0.00362689648981058
"[45,50)",1,"Anemia",51791,1045,0.0201772508737039
"[50,55)",0,"Anemia",57331,267,0.00465716628002302
"[50,55)",1,"Anemia",53487,851,0.0159104081365565
"[55,60)",0,"Anemia",51875,314,0.00605301204819277
"[55,60)",1,"Anemia",47915,481,0.01003861003861
"[60,65)",0,"Anemia",46867,464,0.00990035632747989
"[60,65)",1,"Anemia",44127,521,0.0118068302853128
"[65,70)",0,"Anemia",43054,664,0.0154224926836066
"[65,70)",1,"Anemia",41032,672,0.0163774614934685
"[70,75)",0,"Anemia",36481,819,0.0224500424878704
"[70,75)",1,"Anemia",37416,856,0.0228779131922172
"[75,80)",0,"Anemia",29487,1007,0.0341506426560857
"[75,80)",1,"Anemia",31986,996,0.0311386231476271
"[80,120]",0,"Anemia",43286,2393,0.0552834634754886
"[80,120]",1,"Anemia",64444,3037,0.0471261870771523
"[40,45)",0,"Anxiety",56013,786,0.0140324567511113
"[40,45)",1,"Anxiety",51133,1249,0.024426495609489
"[45,50)",0,"Anxiety",55695,762,0.0136816590358201
"[45,50)",1,"Anxiety",51791,1130,0.0218184626672588
"[50,55)",0,"Anxiety",57331,677,0.0118086201182606
"[50,55)",1,"Anxiety",53487,1083,0.0202479107072747
"[55,60)",0,"Anxiety",51875,510,0.00983132530120482
"[55,60)",1,"Anxiety",47915,861,0.0179693206720234
"[60,65)",0,"Anxiety",46867,376,0.0080227025412337
"[60,65)",1,"Anxiety",44127,741,0.0167924400027194
"[65,70)",0,"Anxiety",43054,313,0.00726994007525433
"[65,70)",1,"Anxiety",41032,636,0.0155000974848898
"[70,75)",0,"Anxiety",36481,238,0.00652394397083413
"[70,75)",1,"Anxiety",37416,590,0.0157686551208039
"[75,80)",0,"Anxiety",29487,215,0.00729134872994879
"[75,80)",1,"Anxiety",31986,445,0.0139123366472832
"[80,120]",0,"Anxiety",43286,310,0.00716166889987525
"[80,120]",1,"Anxiety",64444,1018,0.0157966606666253
"[40,45)",0,"Arthritis",56013,859,0.0153357256351204
"[40,45)",1,"Arthritis",51133,564,0.0110300588660943
"[45,50)",0,"Arthritis",55695,1282,0.0230182242571146
"[45,50)",1,"Arthritis",51791,980,0.0189222065609855
"[50,55)",0,"Arthritis",57331,1798,0.0313617414662225
"[50,55)",1,"Arthritis",53487,1830,0.0342139211397162
"[55,60)",0,"Arthritis",51875,2262,0.0436048192771084
"[55,60)",1,"Arthritis",47915,2373,0.0495252008765522
"[60,65)",0,"Arthritis",46867,2778,0.0592741161158171
"[60,65)",1,"Arthritis",44127,2901,0.0657420626827113
"[65,70)",0,"Arthritis",43054,2971,0.0690063641008965
"[65,70)",1,"Arthritis",41032,3319,0.0808880873464613
"[70,75)",0,"Arthritis",36481,3031,0.0830843452756229
"[70,75)",1,"Arthritis",37416,3782,0.101079751977764
"[75,80)",0,"Arthritis",29487,2902,0.0984162512293553
"[75,80)",1,"Arthritis",31986,3754,0.117363846682924
"[80,120]",0,"Arthritis",43286,4366,0.100864020699533
"[80,120]",1,"Arthritis",64444,7436,0.115387002668984
"[40,45)",0,"CAD",56013,102,0.00182100583793048
"[40,45)",1,"CAD",51133,30,0.000586705258834803
"[45,50)",0,"CAD",55695,302,0.00542238980159799
"[45,50)",1,"CAD",51791,57,0.00110057732038385
"[50,55)",0,"CAD",57331,502,0.00875617030925677
"[50,55)",1,"CAD",53487,147,0.0027483313702395
"[55,60)",0,"CAD",51875,741,0.0142843373493976
"[55,60)",1,"CAD",47915,201,0.00419492851925284
"[60,65)",0,"CAD",46867,883,0.018840548786993
"[60,65)",1,"CAD",44127,307,0.00695719174201736
"[65,70)",0,"CAD",43054,1006,0.0233660054814884
"[65,70)",1,"CAD",41032,389,0.00948040553714174
"[70,75)",0,"CAD",36481,1074,0.0294399824566213
"[70,75)",1,"CAD",37416,541,0.0144590549497541
"[75,80)",0,"CAD",29487,992,0.0336419439074847
"[75,80)",1,"CAD",31986,600,0.018758206715438
"[80,120]",0,"CAD",43286,2019,0.0466432564801552
"[80,120]",1,"CAD",64444,1896,0.0294208925578797
"[40,45)",0,"CVA",56013,44,0.000785531930087658
"[40,45)",1,"CVA",51133,49,0.000958285256096845
"[45,50)",0,"CVA",55695,107,0.00192117784361253
"[45,50)",1,"CVA",51791,71,0.00137089455696936
"[50,55)",0,"CVA",57331,203,0.00354084177844447
"[50,55)",1,"CVA",53487,152,0.00284181202909118
"[55,60)",0,"CVA",51875,280,0.00539759036144578
"[55,60)",1,"CVA",47915,172,0.00358969007617656
"[60,65)",0,"CVA",46867,372,0.00793735464185888
"[60,65)",1,"CVA",44127,259,0.00586942234912865
"[65,70)",0,"CVA",43054,472,0.0109629767269011
"[65,70)",1,"CVA",41032,350,0.00852992786118152
"[70,75)",0,"CVA",36481,586,0.0160631561634824
"[70,75)",1,"CVA",37416,464,0.0124011118238187
"[75,80)",0,"CVA",29487,668,0.0226540509377014
"[75,80)",1,"CVA",31986,616,0.019258425561183
"[80,120]",0,"CVA",43286,1484,0.0342836020884351
"[80,120]",1,"CVA",64444,1999,0.0310191794426168
"[40,45)",0,"Cancer",56013,112,0.00199953582204131
"[40,45)",1,"Cancer",51133,137,0.00267928734867894
"[45,50)",0,"Cancer",55695,177,0.00317802316186372
"[45,50)",1,"Cancer",51791,208,0.00401614180069896
"[50,55)",0,"Cancer",57331,275,0.00479670684272034
"[50,55)",1,"Cancer",53487,308,0.00575840858526371
"[55,60)",0,"Cancer",51875,397,0.00765301204819277
"[55,60)",1,"Cancer",47915,394,0.0082228947093812
"[60,65)",0,"Cancer",46867,542,0.011564640365289
"[60,65)",1,"Cancer",44127,508,0.0115122260747388
"[65,70)",0,"Cancer",43054,827,0.0192084359176848
"[65,70)",1,"Cancer",41032,604,0.0147202183661532
"[70,75)",0,"Cancer",36481,973,0.0266714179984101
"[70,75)",1,"Cancer",37416,675,0.0180404105195638
"[75,80)",0,"Cancer",29487,1081,0.0366602231491844
"[75,80)",1,"Cancer",31986,673,0.0210404551991496
"[80,120]",0,"Cancer",43286,2020,0.0466663586378968
"[80,120]",1,"Cancer",64444,1553,0.0240984420582211
"[40,45)",0,"Chronpain",56013,971,0.0173352614571617
"[40,45)",1,"Chronpain",51133,1486,0.0290614671542839
"[45,50)",0,"Chronpain",55695,983,0.0176496992548703
"[45,50)",1,"Chronpain",51791,1507,0.0290977196810257
"[50,55)",0,"Chronpain",57331,967,0.0168669655160384
"[50,55)",1,"Chronpain",53487,1658,0.0309981864752183
"[55,60)",0,"Chronpain",51875,935,0.0180240963855422
"[55,60)",1,"Chronpain",47915,1420,0.0296358134195972
"[60,65)",0,"Chronpain",46867,834,0.0177950370196514
"[60,65)",1,"Chronpain",44127,1182,0.0267863212998844
"[65,70)",0,"Chronpain",43054,741,0.0172109443954104
"[65,70)",1,"Chronpain",41032,1027,0.0250292454669526
"[70,75)",0,"Chronpain",36481,622,0.0170499712178942
"[70,75)",1,"Chronpain",37416,951,0.0254169339320077
"[75,80)",0,"Chronpain",29487,527,0.0178722827008512
"[75,80)",1,"Chronpain",31986,869,0.027168136059526
"[80,120]",0,"Chronpain",43286,843,0.0194751189761124
"[80,120]",1,"Chronpain",64444,1830,0.0283967475637763
"[40,45)",0,"Dementia",56013,355,0.00633781443593451
"[40,45)",1,"Dementia",51133,165,0.00322687892359142
"[45,50)",0,"Dementia",55695,421,0.00755902684262501
"[45,50)",1,"Dementia",51791,201,0.00388098318240621
"[50,55)",0,"Dementia",57331,460,0.00802358235509585
"[50,55)",1,"Dementia",53487,246,0.00459924841550283
"[55,60)",0,"Dementia",51875,423,0.00815421686746988
"[55,60)",1,"Dementia",47915,293,0.00611499530418449
"[60,65)",0,"Dementia",46867,400,0.00853478993748266
"[60,65)",1,"Dementia",44127,270,0.00611870283499898
"[65,70)",0,"Dementia",43054,437,0.0101500441306267
"[65,70)",1,"Dementia",41032,326,0.00794501852212907
"[70,75)",0,"Dementia",36481,596,0.0163372714563745
"[70,75)",1,"Dementia",37416,567,0.0151539448364336
"[75,80)",0,"Dementia",29487,910,0.0308610574151321
"[75,80)",1,"Dementia",31986,1059,0.0331082348527481
"[80,120]",0,"Dementia",43286,2665,0.0615672503811856
"[80,120]",1,"Dementia",64444,5085,0.0789057165911489
"[40,45)",0,"Depress",56013,1185,0.0211558031171335
"[40,45)",1,"Depress",51133,1734,0.0339115639606516
"[45,50)",0,"Depress",55695,1220,0.0219050184038064
"[45,50)",1,"Depress",51791,1820,0.0351412407561159
