"age_group","is_female","category","N","count","percent"
"[40,45)",0,"AFIB",172517,288,0.00166940069674293
"[40,45)",1,"AFIB",187351,74,0.000394980544539394
"[45,50)",0,"AFIB",191647,605,0.00315684565894587
"[45,50)",1,"AFIB",205987,144,0.000699073242486176
"[50,55)",0,"AFIB",194280,989,0.00509059089973234
"[50,55)",1,"AFIB",206261,305,0.00147870901430712
"[55,60)",0,"AFIB",179016,1508,0.0084238280377173
"[55,60)",1,"AFIB",184086,630,0.00342231348391513
"[60,65)",0,"AFIB",168743,2283,0.0135294501105231
"[60,65)",1,"AFIB",172071,1028,0.00597427805963817
"[65,70)",0,"AFIB",164314,3437,0.0209172681573086
"[65,70)",1,"AFIB",167680,1889,0.0112655057251908
"[70,75)",0,"AFIB",132931,4277,0.0321745868157164
"[70,75)",1,"AFIB",141998,2884,0.0203101452133129
"[75,80)",0,"AFIB",105409,4765,0.0452048686544792
"[75,80)",1,"AFIB",120512,4050,0.0336066117896973
"[80,120]",0,"AFIB",151034,9081,0.0601255346478276
"[80,120]",1,"AFIB",232841,11645,0.0500126695899777
"[40,45)",0,"Anemia",172517,442,0.00256206634708464
"[40,45)",1,"Anemia",187351,3852,0.0205603386157533
"[45,50)",0,"Anemia",191647,692,0.003610805282629
"[45,50)",1,"Anemia",205987,4966,0.024108317515183
"[50,55)",0,"Anemia",194280,954,0.00491043854231007
"[50,55)",1,"Anemia",206261,4351,0.0210946325286894
"[55,60)",0,"Anemia",179016,1353,0.0075579836439201
"[55,60)",1,"Anemia",184086,2283,0.0124018121964734
"[60,65)",0,"Anemia",168743,1971,0.0116804845238025
"[60,65)",1,"Anemia",172071,2219,0.01289583950811
"[65,70)",0,"Anemia",164314,2784,0.0169431697846806
"[65,70)",1,"Anemia",167680,2883,0.017193463740458
"[70,75)",0,"Anemia",132931,3312,0.0249151815603584
"[70,75)",1,"Anemia",141998,3662,0.0257890956210651
"[75,80)",0,"Anemia",105409,4077,0.0386779117532658
"[75,80)",1,"Anemia",120512,4533,0.0376145114179501
"[80,120]",0,"Anemia",151034,8882,0.0588079505276958
"[80,120]",1,"Anemia",232841,12611,0.0541614234606448
"[40,45)",0,"Anxiety",172517,3059,0.0177315858726966
"[40,45)",1,"Anxiety",187351,5315,0.0283692107327957
"[45,50)",0,"Anxiety",191647,2951,0.0153981017182633
"[45,50)",1,"Anxiety",205987,5473,0.0265696378897697
"[50,55)",0,"Anxiety",194280,2708,0.0139386452542722
"[50,55)",1,"Anxiety",206261,4797,0.0232569414479713
"[55,60)",0,"Anxiety",179016,2150,0.0120100996558967
"[55,60)",1,"Anxiety",184086,4062,0.0220657736058147
"[60,65)",0,"Anxiety",168743,1757,0.0104122837688082
"[60,65)",1,"Anxiety",172071,3403,0.0197767200748528
"[65,70)",0,"Anxiety",164314,1454,0.00884891123093589
"[65,70)",1,"Anxiety",167680,3096,0.0184637404580153
"[70,75)",0,"Anxiety",132931,1128,0.0084856053140351
"[70,75)",1,"Anxiety",141998,2496,0.0175777123621459
"[75,80)",0,"Anxiety",105409,884,0.00838638066958229
"[75,80)",1,"Anxiety",120512,2279,0.0189109798194371
"[80,120]",0,"Anxiety",151034,1108,0.00733609650807103
"[80,120]",1,"Anxiety",232841,3751,0.0161097057648782
"[40,45)",0,"Arthritis",172517,4521,0.0262061130207458
"[40,45)",1,"Arthritis",187351,2796,0.0149238594936776
"[45,50)",0,"Arthritis",191647,6927,0.036144578313253
"[45,50)",1,"Arthritis",205987,5028,0.0244093073834757
"[50,55)",0,"Arthritis",194280,9776,0.050319127033148
"[50,55)",1,"Arthritis",206261,8960,0.0434401074366943
"[55,60)",0,"Arthritis",179016,12059,0.0673626938374224
"[55,60)",1,"Arthritis",184086,12306,0.0668491900524755
"[60,65)",0,"Arthritis",168743,14849,0.0879977243500471
"[60,65)",1,"Arthritis",172071,15289,0.088852857250786
"[65,70)",0,"Arthritis",164314,16517,0.100520953783609
"[65,70)",1,"Arthritis",167680,17696,0.105534351145038
"[70,75)",0,"Arthritis",132931,15287,0.114999511024516
"[70,75)",1,"Arthritis",141998,17818,0.125480640572402
"[75,80)",0,"Arthritis",105409,14153,0.134267472416966
"[75,80)",1,"Arthritis",120512,17652,0.146475039830058
"[80,120]",0,"Arthritis",151034,20323,0.134559105896686
"[80,120]",1,"Arthritis",232841,30991,0.133099411186174
"[40,45)",0,"CAD",172517,518,0.00300260264205846
"[40,45)",1,"CAD",187351,159,0.000848674413267076
"[45,50)",0,"CAD",191647,1231,0.00642326777878078
"[45,50)",1,"CAD",205987,375,0.00182050323564108
"[50,55)",0,"CAD",194280,2296,0.0118179946469014
"[50,55)",1,"CAD",206261,766,0.00371374132773525
"[55,60)",0,"CAD",179016,3213,0.0179481163694865
"[55,60)",1,"CAD",184086,1012,0.00549743054876525
"[60,65)",0,"CAD",168743,3809,0.0225727882045477
"[60,65)",1,"CAD",172071,1435,0.00833958075445601
"[65,70)",0,"CAD",164314,4108,0.0250009128863031
"[65,70)",1,"CAD",167680,1729,0.0103113072519084
"[70,75)",0,"CAD",132931,3805,0.0286238725353755
"[70,75)",1,"CAD",141998,2128,0.0149861265651629
"[75,80)",0,"CAD",105409,3570,0.0338680757810054
"[75,80)",1,"CAD",120512,2322,0.0192677907594264
"[80,120]",0,"CAD",151034,5744,0.0380311717891336
"[80,120]",1,"CAD",232841,5972,0.0256484038464016
"[40,45)",0,"CVA",172517,280,0.00162302845516674
"[40,45)",1,"CVA",187351,243,0.00129703070706855
"[45,50)",0,"CVA",191647,459,0.00239502835943166
"[45,50)",1,"CVA",205987,434,0.00210692907804861
"[50,55)",0,"CVA",194280,870,0.0044780728844966
"[50,55)",1,"CVA",206261,666,0.00322891870009357
"[55,60)",0,"CVA",179016,1213,0.00677593064307101
"[55,60)",1,"CVA",184086,827,0.00449246547809176
"[60,65)",0,"CVA",168743,1582,0.00937520371215399
"[60,65)",1,"CVA",172071,1113,0.00646826019491954
"[65,70)",0,"CVA",164314,1954,0.0118918655744489
"[65,70)",1,"CVA",167680,1464,0.00873091603053435
"[70,75)",0,"CVA",132931,2302,0.0173172548164085
"[70,75)",1,"CVA",141998,1808,0.0127325736982211
"[75,80)",0,"CVA",105409,2495,0.0236697056228595
"[75,80)",1,"CVA",120512,2391,0.0198403478491768
"[80,120]",0,"CVA",151034,5008,0.0331580968523644
"[80,120]",1,"CVA",232841,7131,0.0306260495359494
"[40,45)",0,"Cancer",172517,582,0.003373580574668
"[40,45)",1,"Cancer",187351,754,0.00402453149436085
"[45,50)",0,"Cancer",191647,981,0.00511878610153042
"[45,50)",1,"Cancer",205987,1362,0.00661206775184842
"[50,55)",0,"Cancer",194280,1578,0.00812229771463867
"[50,55)",1,"Cancer",206261,1986,0.00962857738496371
"[55,60)",0,"Cancer",179016,2445,0.013657997050543
"[55,60)",1,"Cancer",184086,2320,0.0126028052106081
"[60,65)",0,"Cancer",168743,3449,0.0204393663737162
"[60,65)",1,"Cancer",172071,2942,0.017097593435268
"[65,70)",0,"Cancer",164314,4892,0.0297722652969315
"[65,70)",1,"Cancer",167680,3906,0.0232943702290076
"[70,75)",0,"Cancer",132931,5734,0.0431351603463451
"[70,75)",1,"Cancer",141998,4287,0.0301905660643108
"[75,80)",0,"Cancer",105409,6198,0.0587995332466867
"[75,80)",1,"Cancer",120512,4376,0.036311736590547
"[80,120]",0,"Cancer",151034,11945,0.07908815233656
"[80,120]",1,"Cancer",232841,10078,0.0432827551848686
"[40,45)",0,"Chronpain",172517,13184,0.0764214541175652
"[40,45)",1,"Chronpain",187351,17634,0.0941227962487523
"[45,50)",0,"Chronpain",191647,14050,0.0733118702614703
"[45,50)",1,"Chronpain",205987,19296,0.0936758144931476
"[50,55)",0,"Chronpain",194280,14122,0.0726889026147828
"[50,55)",1,"Chronpain",206261,19706,0.0955391470030689
"[55,60)",0,"Chronpain",179016,12703,0.0709601376413281
"[55,60)",1,"Chronpain",184086,17184,0.093347674456504
"[60,65)",0,"Chronpain",168743,11931,0.0707051551768073
"[60,65)",1,"Chronpain",172071,15277,0.0887831185963933
"[65,70)",0,"Chronpain",164314,10947,0.0666224423968743
"[65,70)",1,"Chronpain",167680,14381,0.0857645515267176
"[70,75)",0,"Chronpain",132931,8951,0.0673356854307874
"[70,75)",1,"Chronpain",141998,12691,0.0893744982323695
"[75,80)",0,"Chronpain",105409,7979,0.0756956237133452
"[75,80)",1,"Chronpain",120512,11805,0.0979570499203399
"[80,120]",0,"Chronpain",151034,11396,0.075453209211171
"[80,120]",1,"Chronpain",232841,21928,0.0941758539088906
"[40,45)",0,"Dementia",172517,1572,0.00911214546972182
"[40,45)",1,"Dementia",187351,1091,0.00582329424449296
"[45,50)",0,"Dementia",191647,1988,0.0103732382974949
"[45,50)",1,"Dementia",205987,1461,0.00709268060605766
"[50,55)",0,"Dementia",194280,2265,0.0116584311303274
"[50,55)",1,"Dementia",206261,1718,0.00832925274288402
"[55,60)",0,"Dementia",179016,2256,0.0126022254993967
"[55,60)",1,"Dementia",184086,1825,0.00991384461610334
"[60,65)",0,"Dementia",168743,2339,0.0138613157286524
"[60,65)",1,"Dementia",172071,1824,0.0106002754676849
"[65,70)",0,"Dementia",164314,2675,0.0162798057377947
"[65,70)",1,"Dementia",167680,2344,0.0139790076335878
"[70,75)",0,"Dementia",132931,3301,0.024832431863147
"[70,75)",1,"Dementia",141998,3369,0.0237256862772715
"[75,80)",0,"Dementia",105409,4785,0.0453946057737005
"[75,80)",1,"Dementia",120512,5482,0.0454892458842273
"[80,120]",0,"Dementia",151034,12459,0.0824913595614233
"[80,120]",1,"Dementia",232841,21974,0.0943734136170176
"[40,45)",0,"Depress",172517,5859,0.033961870424364
"[40,45)",1,"Depress",187351,10336,0.0551691744372862
"[45,50)",0,"Depress",191647,6329,0.0330242581412701
"[45,50)",1,"Depress",205987,10401,0.0504934777437411
"[50,55)",0,"Depress",194280,5706,0.0293699814700432
"[50,55)",1,"Depress",206261,9227,0.0447345838524976
"[55,60)",0,"Depress",179016,4822,0.0269361397863878
"[55,60)",1,"Depress",184086,7455,0.040497376226329
"[60,65)",0,"Depress",168743,3675,0.0217786811897382
"[60,65)",1,"Depress",172071,5268,0.0306152692783793
"[65,70)",0,"Depress",164314,2572,0.015652957143031
"[65,70)",1,"Depress",167680,3993,0.023813215648855
"[70,75)",0,"Depress",132931,1773,0.0133377466505179
"[70,75)",1,"Depress",141998,3102,0.021845378103917
"[75,80)",0,"Depress",105409,1509,0.0143156656452485
"[75,80)",1,"Depress",120512,2633,0.0218484466277217
"[80,120]",0,"Depress",151034,2189,0.0144934253214508
"[80,120]",1,"Depress",232841,4527,0.0194424521454555
"[40,45)",0,"Diabetes",172517,2854,0.0165432971823067
"[40,45)",1,"Diabetes",187351,1923,0.010264156583098
"[45,50)",0,"Diabetes",191647,4801,0.0250512661299159
"[45,50)",1,"Diabetes",205987,3055,0.014831033026356
"[50,55)",0,"Diabetes",194280,6704,0.0345068972616842
"[50,55)",1,"Diabetes",206261,4340,0.0210413020396488
"[55,60)",0,"Diabetes",179016,8069,0.0450741833132234
"[55,60)",1,"Diabetes",184086,5181,0.028144454222483
"[60,65)",0,"Diabetes",168743,8838,0.0523755059469134
"[60,65)",1,"Diabetes",172071,5603,0.0325621400468411
"[65,70)",0,"Diabetes",164314,9231,0.0561790230899376
"[65,70)",1,"Diabetes",167680,6156,0.036712786259542
"[70,75)",0,"Diabetes",132931,8093,0.0608812090483033
"[70,75)",1,"Diabetes",141998,6081,0.0428245468246032
"[75,80)",0,"Diabetes",105409,6570,0.0623286436642032
"[75,80)",1,"Diabetes",120512,5734,0.0475803239511418
