category,concept_id,fi,score,lookback
Activity limitation,4053246,efi,1,1
Activity limitation,4052648,efi,1,1
Activity limitation,4059770,efi,1,1
Activity limitation,4167605,efi,1,1
Activity limitation,44802445,efi,1,1
Anaemia and haematinic deficiency,4029669,efi,1,1
Anaemia and haematinic deficiency,437247,efi,1,1
Anaemia and haematinic deficiency,22281,efi,1,1
Anaemia and haematinic deficiency,4101280,efi,1,1
Anaemia and haematinic deficiency,4122926,efi,1,1
Anaemia and haematinic deficiency,44810002,efi,1,1
Anaemia and haematinic deficiency,4002495,efi,1,1
Anaemia and haematinic deficiency,4121110,efi,1,1
Anaemia and haematinic deficiency,443961,efi,1,1
Anaemia and haematinic deficiency,4276524,efi,1,1
Anaemia and haematinic deficiency,44806268,efi,1,1
Anaemia and haematinic deficiency,4297537,efi,1,1
Anaemia and haematinic deficiency,4058711,efi,1,1
Anaemia and haematinic deficiency,40302038,efi,1,1
Anaemia and haematinic deficiency,4132431,efi,1,1
Anaemia and haematinic deficiency,4280354,efi,1,1
Anaemia and haematinic deficiency,4173028,efi,1,1
Anaemia and haematinic deficiency,4100822,efi,1,1
Anaemia and haematinic deficiency,4146087,efi,1,1
Anaemia and haematinic deficiency,4146088,efi,1,1
Anaemia and haematinic deficiency,4143351,efi,1,1
Anaemia and haematinic deficiency,4146086,efi,1,1
Anaemia and haematinic deficiency,37393847,efi,1,1
Anaemia and haematinic deficiency,4061927,efi,1,1
Anaemia and haematinic deficiency,435789,efi,1,1
Anaemia and haematinic deficiency,4122928,efi,1,1
Anaemia and haematinic deficiency,4098008,efi,1,1
Anaemia and haematinic deficiency,4098009,efi,1,1
Anaemia and haematinic deficiency,4003186,efi,1,1
Anaemia and haematinic deficiency,4101001,efi,1,1
Anaemia and haematinic deficiency,40389961,efi,1,1
Anaemia and haematinic deficiency,4228194,efi,1,1
Anaemia and haematinic deficiency,4098627,efi,1,1
Anaemia and haematinic deficiency,436659,efi,1,1
Anaemia and haematinic deficiency,40389977,efi,1,1
Anaemia and haematinic deficiency,40351340,efi,1,1
Anaemia and haematinic deficiency,441269,efi,1,1
Anaemia and haematinic deficiency,432588,efi,1,1
Anaemia and haematinic deficiency,4122079,efi,1,1
Anaemia and haematinic deficiency,434616,efi,1,1
Anaemia and haematinic deficiency,137829,efi,1,1
Anaemia and haematinic deficiency,26942,efi,1,1
Anaemia and haematinic deficiency,4125493,efi,1,1
Anaemia and haematinic deficiency,40332688,efi,1,1
Anaemia and haematinic deficiency,40390034,efi,1,1
Anaemia and haematinic deficiency,4143050,efi,1,1
Anaemia and haematinic deficiency,4146936,efi,1,1
Anaemia and haematinic deficiency,138723,efi,1,1
Anaemia and haematinic deficiency,4218100,efi,1,1
Anaemia and haematinic deficiency,437834,efi,1,1
Anaemia and haematinic deficiency,4213893,efi,1,1
Anaemia and haematinic deficiency,435503,efi,1,1
Anaemia and haematinic deficiency,441258,efi,1,1
Anaemia and haematinic deficiency,40390451,efi,1,1
Anaemia and haematinic deficiency,4101458,efi,1,1
Anaemia and haematinic deficiency,4147491,efi,1,1
Anaemia and haematinic deficiency,4101583,efi,1,1
Anaemia and haematinic deficiency,4120448,efi,1,1
Anaemia and haematinic deficiency,4160887,efi,1,1
Anaemia and haematinic deficiency,438722,efi,1,1
Anaemia and haematinic deficiency,4121106,efi,1,1
Anaemia and haematinic deficiency,40351339,efi,1,1
Anaemia and haematinic deficiency,4125491,efi,1,1
Anaemia and haematinic deficiency,4122927,efi,1,1
Anaemia and haematinic deficiency,40302037,efi,1,1
Anaemia and haematinic deficiency,4098019,efi,1,1
Anaemia and haematinic deficiency,4100987,efi,1,1
Anaemia and haematinic deficiency,40302035,efi,1,1
Anaemia and haematinic deficiency,30978,efi,1,1
Anaemia and haematinic deficiency,4077222,efi,1,1
Anaemia and haematinic deficiency,440979,efi,1,1
Anaemia and haematinic deficiency,40389960,efi,1,1
Anaemia and haematinic deficiency,4184758,efi,1,1
Anaemia and haematinic deficiency,4300295,efi,1,1
Anaemia and haematinic deficiency,432282,efi,1,1
Anaemia and haematinic deficiency,3542412,efi,1,1
Anaemia and haematinic deficiency,444289,efi,1,1
Anaemia and haematinic deficiency,40389983,efi,1,1
Anaemia and haematinic deficiency,40390437,efi,1,1
Anaemia and haematinic deficiency,4150547,efi,1,1
Anaemia and haematinic deficiency,4219853,efi,1,1
Anaemia and haematinic deficiency,4003185,efi,1,1
Anaemia and haematinic deficiency,44789939,efi,1,1
Anaemia and haematinic deficiency,44789940,efi,1,1
Anaemia and haematinic deficiency,40390003,efi,1,1
Anaemia and haematinic deficiency,4198185,efi,1,1
Anaemia and haematinic deficiency,4099508,efi,1,1
Anaemia and haematinic deficiency,4098753,efi,1,1
Anaemia and haematinic deficiency,140681,efi,1,1
Anaemia and haematinic deficiency,4101578,efi,1,1
Anaemia and haematinic deficiency,4153000,efi,1,1
Anaemia and haematinic deficiency,3530067,efi,1,1
Anaemia and haematinic deficiency,4098018,efi,1,1
Anaemia and haematinic deficiency,440977,efi,1,1
Anaemia and haematinic deficiency,4198102,efi,1,1
Anaemia and haematinic deficiency,432295,efi,1,1
Anaemia and haematinic deficiency,4101582,efi,1,1
Anaemia and haematinic deficiency,4098027,efi,1,1
Anaemia and haematinic deficiency,4100998,efi,1,1
Anaemia and haematinic deficiency,4114026,efi,1,1
Anaemia and haematinic deficiency,30683,efi,1,1
Anaemia and haematinic deficiency,4122924,efi,1,1
Anaemia and haematinic deficiency,4101584,efi,1,1
Anaemia and haematinic deficiency,4101000,efi,1,1
Anaemia and haematinic deficiency,4029670,efi,1,1
Anaemia and haematinic deficiency,4098145,efi,1,1
Anaemia and haematinic deficiency,4262948,efi,1,1
Anaemia and haematinic deficiency,434622,efi,1,1
Anaemia and haematinic deficiency,439777,efi,1,1
Anaemia and haematinic deficiency,4306430,efi,1,1
Anaemia and haematinic deficiency,4306582,efi,1,1
Anaemia and haematinic deficiency,40389974,efi,1,1
Anaemia and haematinic deficiency,140065,efi,1,1
Anaemia and haematinic deficiency,40479193,efi,1,1
Anaemia and haematinic deficiency,4100985,efi,1,1
Anaemia and haematinic deficiency,4077348,efi,1,1
Anaemia and haematinic deficiency,432875,efi,1,1
Anaemia and haematinic deficiency,40302036,efi,1,1
Anaemia and haematinic deficiency,4098740,efi,1,1
Anaemia and haematinic deficiency,436083,efi,1,1
Anaemia and haematinic deficiency,40389959,efi,1,1
Anaemia and haematinic deficiency,440218,efi,1,1
Anaemia and haematinic deficiency,4120450,efi,1,1
Anaemia and haematinic deficiency,4059188,efi,1,1
Anaemia and haematinic deficiency,4028718,efi,1,1
Anaemia and haematinic deficiency,4121109,efi,1,1
Anaemia and haematinic deficiency,4059187,efi,1,1
Anaemia and haematinic deficiency,434894,efi,1,1
Anaemia and haematinic deficiency,4146771,efi,1,1
Anaemia and haematinic deficiency,4098754,efi,1,1
Anaemia and haematinic deficiency,4231887,efi,1,1
Anaemia and haematinic deficiency,136949,efi,1,1
Anaemia and haematinic deficiency,4098760,efi,1,1
Anaemia and haematinic deficiency,40390425,efi,1,1
Anaemia and haematinic deficiency,4308125,efi,1,1
Anaemia and haematinic deficiency,4035316,efi,1,1
Anaemia and haematinic deficiency,40390408,efi,1,1
Anaemia and haematinic deficiency,4116343,efi,1,1
Anaemia and haematinic deficiency,40390052,efi,1,1
Anaemia and haematinic deficiency,4098017,efi,1,1
Arthritis,4058913,efi,1,3
Arthritis,4114439,efi,1,3
